id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Latitude;Longitude;Vorstadt;Viertel;reference;Grundobrigkeit
83;Pramergasse, zw. Nr. 70 und 71 140;140;0;;;Pramergasse, zw. Nr. 70 und 71;48.2221325;16.364509;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
84;Pramergasse 72;72;48;;;Pramergasse;48.2221962;16.3659348;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
85;Pramergasse 73;73;123;;;Pramergasse;48.2220225;16.3657366;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
86;Pramergasse 74;74;128;;;Pramergasse;48.2220051;16.3654549;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
87;Pramergasse 71;71;49;;;Pramergasse;48.222129;16.3652045;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
88;Pramergasse 75;75;58;;;Pramergasse;48.2220537;16.363763;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
89;Pramergasse 76;76;57;;;Pramergasse;48.222158;16.3629058;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
90;Pramergasse, neben Nr. 76 150;150;57;;;Pramergasse, neben Nr. 76;48.2222148;16.3626884;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
91;Pramergasse 77;77;56;;;Pramergasse;48.2223851;16.3619998;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
92;Grüne Thorgasse 78;78;71;;;Grüne Thorgasse;48.222494;16.3615286;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
93;Grüne Thorgasse 79;79;70;;;Grüne Thorgasse;48.2214215;16.3613704;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
94;Grüne Thorgasse 80;80;69;;;Grüne Thorgasse;48.2213114;16.3618034;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
95;Grüne Thorgasse 81;81;68;;;Grüne Thorgasse;48.2212524;16.362059;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
96;Grüne Thorgasse zw. Nr. 81 und 145 147;147;0;;Gemeinde Rossau Schulhaus;Grüne Thorgasse zw. Nr. 81 und 145;48.2212037;16.3622868;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
97;Judengasse zw. Nr. 50 und 51, zw. Nr. 44 und 45 148;148;0;;;Judengasse zw. Nr. 50 und 51, zw. Nr. 44 und 45;48.2211168;16.3626606;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
98;Grüne Thorgasse 82;82;61;;;Grüne Thorgasse;48.2209372;16.3638604;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
99;Servitengasse 84;84;59;;;Servitengasse;48.2219208;16.3645924;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
100;Servitengasse 85;85;12;;;Servitengasse;48.2218189;16.364822;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
101;Servitengasse 86;86;62;;;Servitengasse;48.2215095;16.3646829;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
102;Servitengasse 83;83;60;;;Servitengasse;48.2214597;16.3644168;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
103;3 Mohrengasse 156;156;0;;;3 Mohrengasse;48.2207125;16.3651523;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
104;Servitengasse 157;157;0;;;Servitengasse;48.220614;16.3644046;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
