id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Vorstadt;lat;lon;reference;Viertel
94;Hundsthurmer Hauptstraße 101;101;68;66;;Hundsthurmer Hauptstraße;Herrschaft Hundsthurm;Hundsthurm;48.1892605;16.3512422;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
95;Hundsthurmer Hauptstraße 96;96;63;61;;Hundsthurmer Hauptstraße;Herrschaft Hundsthurm;Hundsthurm;48.1889002;16.349927;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
96;Hundsthurmer Hauptstraße 95;95;62;60;;Hundsthurmer Hauptstraße;Herrschaft Hundsthurm;Hundsthurm;48.1888353;16.3496093;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
97;Hundsthurmer Hauptstraße 94;94;61;59;;Hundsthurmer Hauptstraße;Herrschaft Hundsthurm;Hundsthurm;48.1887814;16.3493338;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
98;Hundsthurmer Hauptstraße 93;93;60;58;;Hundsthurmer Hauptstraße;Herrschaft Hundsthurm;Hundsthurm;48.1887353;16.3490607;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
99;Hundsthurmer Hauptstraße 119;119;92;91;;Hundsthurmer Hauptstraße;Herrschaft Hundsthurm;Hundsthurm;48.1885579;16.3495202;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
100;Hundsthurmer Hauptstraße 118;118;91;90;;Hundsthurmer Hauptstraße;Herrschaft Hundsthurm;Hundsthurm;48.1886126;16.3497746;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
101;Hundsthurmer Hauptstraße 117;117;90;89;;Hundsthurmer Hauptstraße;Herrschaft Hundsthurm;Hundsthurm;48.1886634;16.3500254;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
102;Hundsthurmer Hauptstraße 92;92;59;57;;Hundsthurmer Hauptstraße;Herrschaft Hundsthurm;Hundsthurm;48.1886915;16.3487852;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
103;Hundsthurmer Hauptstraße 122;122;98;;;Hundsthurmer Hauptstraße;Herrschaft Hundsthurm;Hundsthurm;48.1884485;16.3482131;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
104;Hundsthurmer Hauptstraße 121;121;97;;;Hundsthurmer Hauptstraße;Herrschaft Hundsthurm;Hundsthurm;48.1884805;16.3485953;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
105;Hundsthurmer Hauptstraße 120;120;96;;;Hundsthurmer Hauptstraße;Herrschaft Hundsthurm;Hundsthurm;48.1885235;16.3490278;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
106;Hundsthurmer Hauptstraße 91;91;58;56;;Hundsthurmer Hauptstraße;Herrschaft Hundsthurm;Hundsthurm;48.1887228;16.3483456;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
107;Hundsthurmer Hauptstraße 90;90;57;55;;Hundsthurmer Hauptstraße;Herrschaft Hundsthurm;Hundsthurm;48.1887275;16.3481604;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
108;Hundsthurmer Hauptstraße 98;98;65;63;;Hundsthurmer Hauptstraße;Herrschaft Hundsthurm;Hundsthurm;48.1886337;16.3478697;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
109;Hundsthurmer Hauptstraße 88;88;55;53;;Hundsthurmer Hauptstraße;Herrschaft Hundsthurm;Hundsthurm;48.1885891;16.3475918;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
110;Hundsthurmer Hauptstraße 87;87;54;52;;Hundsthurmer Hauptstraße;Herrschaft Hundsthurm;Hundsthurm;48.1885383;16.347314;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
111;Hundsthurmer Hauptstraße 86;86;53;92;;Hundsthurmer Hauptstraße;Herrschaft Hundsthurm;Hundsthurm;48.1884727;16.3470221;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
112;Hundsthurmer Hauptstraße 85;85;52;51;;Hundsthurmer Hauptstraße;Herrschaft Hundsthurm;Hundsthurm;48.188343;16.3465813;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
113;Hundsthurmer Hauptstraße 84;84;51;50;;Hundsthurmer Hauptstraße;Herrschaft Hundsthurm;Hundsthurm;48.1882539;16.3463375;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
114;Hundsthurmer Hauptstraße 83;83;50;49;;Hundsthurmer Hauptstraße;Herrschaft Hundsthurm;Hundsthurm;48.1881898;16.3462062;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
115;Schloßgasse 66;66;33;32;;Schloßgasse;Herrschaft Hundsthurm;Hundsthurm;48.1884664;16.347661;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
116;Schloßgasse 65;65;32;31;;Schloßgasse;Herrschaft Hundsthurm;Hundsthurm;48.1884071;16.3477243;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
