id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Vorstadt;lat;lon;reference;Viertel
67;Lange Gasse 114;114;104;156;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1904147;16.3537485;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
68;Lange Gasse 113;113;103;15;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1903468;16.3534836;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
69;Lange Gasse 112;112;102;158;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1902311;16.3532831;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
70;Lange Gasse 111;111;101;158;;Lange Gasse;Magistrat der Stadt Wien;Margarethen;48.1901225;16.3531659;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
197;Reinprechtsdorferstraße 81;81;77;10;;Reinprechtsdorferstraße;Magistrat der Stadt Wien;Margarethen;48.187445;16.3525036;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
198;Reinprechtsdorferstraße 82;82;78;155;;Reinprechtsdorferstraße;Magistrat der Stadt Wien;Margarethen;48.1872902;16.3526349;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
199;Reinprechtsdorferstraße 83;83;79;96;;Reinprechtsdorferstraße;Magistrat der Stadt Wien;Margarethen;48.1871941;16.3527732;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
200;Reinprechtsdorferstraße 84;84;80;11;;Reinprechtsdorferstraße;Magistrat der Stadt Wien;Margarethen;48.1866392;16.3531882;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
201;Spengergasse 77;77;166;;;Spengergasse;Magistrat der Stadt Wien;Margarethen;48.1872645;16.354698;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
202;Spengergasse 78;78;76;95;;Spengergasse;Magistrat der Stadt Wien;Margarethen;48.1872613;16.3544812;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
260;Grießgasse 75;75;74;9;;Grießgasse;Magistrat der Stadt Wien;Margarethen;48.1885008;16.3539736;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
261;Grießgasse 74;74;73;8;;Grießgasse;Magistrat der Stadt Wien;Margarethen;48.1886618;16.3542315;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
262;Grießgasse 73;73;72;7;;Grießgasse;Magistrat der Stadt Wien;Margarethen;48.188729;16.354337;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
263;Grießgasse 72;72;71;6;;Grießgasse;Magistrat der Stadt Wien;Margarethen;48.1888416;16.3545785;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
264;Grießgasse 80;80;160;;;Grießgasse;Magistrat der Stadt Wien;Margarethen;48.1877318;16.3525692;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
265;Grießgasse 79;79;162;;;Grießgasse;Magistrat der Stadt Wien;Margarethen;48.1882836;16.3535938;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
266;Grießgasse 71;71;70;5;;Grießgasse;Magistrat der Stadt Wien;Margarethen;48.189087;16.3551646;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
267;Grießgasse 86;86;81;12;;Grießgasse;"Magistrat der Stadt Wien;P. P. Dominikaner";Margarethen;48.189273;16.3552959;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
268;Grießgasse 87;87;167;;;Grießgasse;Magistrat der Stadt Wien;Margarethen;48.1892855;16.3554366;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
269;Grießgasse 85;85;169;;;Grießgasse;Magistrat der Stadt Wien;Margarethen;48.1891761;16.3548598;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
271;Grießgasse 88;88;161;;;Grießgasse;Magistrat der Stadt Wien;Margarethen;48.1893644;16.356045;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
272;Grießgasse 70;70;69;4;;Grießgasse;Magistrat der Stadt Wien;Margarethen;48.1891987;16.3560028;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
273;Grießgasse 69;69;68;153;;Grießgasse;Magistrat der Stadt Wien;Margarethen;48.1892753;16.3563357;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
274;Grießgasse 68;68;67;93;;Grießgasse;Magistrat der Stadt Wien;Margarethen;48.1893707;16.3565701;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
275;Grießgasse 67;67;66;122;;Grießgasse;Magistrat der Stadt Wien;Margarethen;48.1895145;16.356753;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
276;Grießgasse 66;66;65;3;;Grießgasse;Magistrat der Stadt Wien;Margarethen;48.1897489;16.3569664;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
277;Grießgasse 89;89;82;151;Stadtmagistratisches Bräuhaus;Grießgasse;Magistrat der Stadt Wien;Margarethen;48.1905054;16.357175;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
278;Grießgasse 65;65;64;92;;Grießgasse;Magistrat der Stadt Wien;Margarethen;48.1902366;16.3571938;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
279;Grießgasse 64;64;63;2;;Grießgasse;Magistrat der Stadt Wien;Margarethen;48.1903788;16.357311;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
280;Gartengasse 63;63;62;98;;Gartengasse;Magistrat der Stadt Wien;Margarethen;48.1906773;16.3578033;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
281;Gartengasse 62;62;61;99;;Gartengasse;Magistrat der Stadt Wien;Margarethen;48.1903819;16.358087;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
282;Gartengasse 61;61;60;100;;Gartengasse;Magistrat der Stadt Wien;Margarethen;48.1900428;16.3584481;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
283;Gartengasse 60;60;59;107;;Gartengasse;Magistrat der Stadt Wien;Margarethen;48.1897692;16.3587365;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
284;Gartengasse 39;39;39;104;;Gartengasse;Magistrat der Stadt Wien;Margarethen;48.1908664;16.3579276;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
285;Gartengasse 40;40;40;103;;Gartengasse;Magistrat der Stadt Wien;Margarethen;48.1906023;16.3581152;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
286;Gartengasse 41;41;41;102;;Gartengasse;Magistrat der Stadt Wien;Margarethen;48.1904523;16.3582816;Behsel Stadtplan, WStLA, P1: 295/100;Margarethen
