id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Latitude;Longitude;Vorstadt;Viertel;reference
156;Fuhrmannsgasse 158;158;151;134;;Fuhrmannsgasse;Magistrat der Stadt Wien;48.2116714;16.3479074;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
157;Fuhrmannsgasse 159;159;152;135;;Fuhrmannsgasse;Magistrat der Stadt Wien;48.2114865;16.3479263;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
158;Fuhrmannsgasse 160;160;153;136;;Fuhrmannsgasse;Magistrat der Stadt Wien;48.2113189;16.3479335;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
159;Fuhrmannsgasse 161;161;154;137;;Fuhrmannsgasse;Magistrat der Stadt Wien;48.2111434;16.3479501;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
160;Fuhrmannsgasse 162;162;155;138;;Fuhrmannsgasse;Magistrat der Stadt Wien;48.2109584;16.3479691;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
161;Fuhrmannsgasse 163;163;156;139;;Fuhrmannsgasse;Magistrat der Stadt Wien;48.2107924;16.3479857;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
162;Fuhrmannsgasse 164;164;157;140;;Fuhrmannsgasse;Magistrat der Stadt Wien;48.2106249;16.3480094;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
163;Fuhrmannsgasse 165;165;158;141;;Fuhrmannsgasse;Magistrat der Stadt Wien;48.2104462;16.3480307;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
164;Kaiserstraﬂe 166;166;160;142;;Kaiserstraﬂe;Magistrat der Stadt Wien;48.2098344;16.3480118;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
165;Kaiserstraﬂe 167;167;161;143;;Kaiserstraﬂe;Magistrat der Stadt Wien;48.2098581;16.3477294;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
166;Herrngasse 189;189;;;;Herrngasse;Stift Schotten;48.2096399;16.3535584;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
167;Herrngasse 190;190;;;;Herrngasse;Stift Schotten;48.2098628;16.3534872;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
168;Herrngasse 191;191;;;;Herrngasse;Stift Schotten;48.2101348;16.3533876;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
169;Herrngasse 192;192;;;;Herrngasse;Stift Schotten;48.2104114;16.35325;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
170;Herrngasse 193;193;;;;Herrngasse;Stift Schotten;48.2107751;16.3531195;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
171;Herrngasse 194;194;;;;Herrngasse;Stift Schotten;48.2109537;16.3530815;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
172;Herrngasse 195;195;;;;Herrngasse;Stift Schotten;48.2111893;16.353008;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
173;Herrngasse 196;196;;;;Herrngasse;Stift Schotten;48.2114137;16.3529629;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
174;Herrngasse 197;197;;;;Herrngasse;Stift Schotten;48.2116208;16.3528063;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
175;Herrngasse 198;198;;;;Herrngasse;Stift Schotten;48.2118722;16.3530554;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
176;Herrngasse 199;199;;;;Herrngasse;Stift Schotten;48.2116809;16.3531005;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
177;Herrngasse 200;200;;;;Herrngasse;Stift Schotten;48.211428;16.3531195;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
178;Herrngasse 201;201;;;;Herrngasse;Stift Schotten;48.2112051;16.3531907;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
179;Herrngasse 202;202;;;;Herrngasse;Stift Schotten;48.2109901;16.3532618;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
180;Herrngasse 203;203;;;;Herrngasse;Stift Schotten;48.2107972;16.3533188;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
181;Herrngasse 204;204;;;;Herrngasse;Stift Schotten;48.2104399;16.3534635;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
182;Herrngasse 205;205;;;;Herrngasse;Stift Schotten;48.2101869;16.3535774;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
183;Herrngasse 206;206;;;;Herrngasse;Stift Schotten;48.2099008;16.3536841;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
184;Herrngasse 207;207;;;;Herrngasse;Stift Schotten;48.2096826;16.3537671;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
185;Herrngasse 208;208;;;;Herrngasse;Stift Schotten;48.2093901;16.3538881;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
186;Kaiserstraﬂe 168;168;162;144;K. K. Kavallerie-Kaserne;Kaiserstraﬂe;"Magistrat der Stadt Wien;Stift Schotten;Dominikaner";48.2102684;16.3458636;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
187;Breite Gasse 169;169;163;145;;Breite Gasse;Magistrat der Stadt Wien;48.2116248;16.3437427;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
188;Breite Gasse 170;170;178;;;Breite Gasse;Magistrat der Stadt Wien;48.211345;16.3437616;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
189;Breite Gasse 171;171;170;;;Breite Gasse;Magistrat der Stadt Wien;48.2111679;16.3437664;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
190;Breite Gasse 172;172;171;;;Breite Gasse;Magistrat der Stadt Wien;48.2110351;16.343764;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
191;Kaiserstraﬂe 173;173;172;;;Kaiserstraﬂe;Magistrat der Stadt Wien;48.210749;16.3436667;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
192;Kaiserstraﬂe 174;174;173;;;Kaiserstraﬂe;Magistrat der Stadt Wien;48.2107853;16.3433227;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
193;Kaiserstraﬂe 175;175;174;;;Kaiserstraﬂe;Magistrat der Stadt Wien;48.2108233;16.3429693;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
194;Kaiserstraﬂe 176;176;182;;;Kaiserstraﬂe;Magistrat der Stadt Wien;48.2108533;16.3426632;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
195;Kaiserstraﬂe 177;177;186;;;Kaiserstraﬂe;Magistrat der Stadt Wien;48.2108818;16.3423951;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
196;Kˆnigsgasse 178;178;183;;;Kˆnigsgasse;Magistrat der Stadt Wien;48.211277;16.3423619;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
197;Kˆnigsgasse 179;179;184;;;Kˆnigsgasse;Magistrat der Stadt Wien;48.2114936;16.3423999;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
