ID;primäres_Label_viecpro;Adresse;alternatives_label_adress1822;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Latitude;Longitude;Stadtviertel
290;Wollzeile, Opplisches Haus;Wollzeile 856;856;908;829;;Wollzeile;Magistrat der Stadt Wien;48.20803636;16.37708869;Stubenviertel
291;Wollzeile, Linckhisches Haus;Wollzeile 857;857;909;828;;Wollzeile;Magistrat der Stadt Wien;48.20810211;16.37682723;Stubenviertel
292;Wollzeile, Pidermannsches Haus;Wollzeile 859;859;911;826;;Wollzeile;Magistrat der Stadt Wien;48.20824238;16.37637667;Stubenviertel
293;Wollzeile, Rohrerisches Haus;Wollzeile 860;860;912;"825;840";;Wollzeile;Magistrat der Stadt Wien;48.2082912;16.3762285;Stubenviertel
294;Wollzeile, Winckhlerisches Haus;Wollzeile 861;861;913;824;;Wollzeile;Magistrat der Stadt Wien;48.20833662;16.37608561;Stubenviertel
295;Wollzeile, Zwickhlisches Haus;Wollzeile 862;862;914;"823;842";;Wollzeile;Magistrat der Stadt Wien;48.20839142;16.37590308;Stubenviertel
296;Wollzeile, Schmidtsches Haus;Wollzeile 863;863;915;822;;Wollzeile;Magistrat der Stadt Wien;48.20851963;16.37558078;Stubenviertel
297;Weihburggasse, Heissensteinisches Haus;Wollzeile 864;864;916;821;;Wollzeile;Magistrat der Stadt Wien;48.2086414;16.3752611;Stubenviertel
298;Wollzeile, Zum Stobelkopf;Strobelgasse 866;866;"907;917";819;;Strobelgasse;Magistrat der Stadt Wien;48.20873004;16.37505786;Stubenviertel
299;Ksl. Münzhaus;Wollzeile 867;867;918;818;K. K. Posthaus;Wollzeile;Kaiserlich-Königlich;48.20883415;16.37483915;Stubenviertel
300;Bischofshof;Stephansplatz 869;869;920;852;Wiener Erzbischof;Stephansplatz;Magistrat der Stadt Wien;48.20928345;16.3732375;Stubenviertel
301;Graben, Freysches Haus;Stephansplatz 875;875;929;861;;Stephansplatz;Magistrat der Stadt Wien;48.20819996;16.37199309;Kärntnerviertel
302;;Naglergasse 284;284;306;176;;Naglergasse;Magistrat der Stadt Wien;48.20979662;16.36818959;Schottenviertel
303;Singerstraße, Zum roten Apfel;Singerstraße 878;878;932;864;;Singerstraße;Magistrat der Stadt Wien;48.20785915;16.37230224;Kärntnerviertel
304;Deutsches Haus;Singerstraße 879;879;933;865;Des hohen deutschen Ritterordens Komenthurhaus;Singerstraße;"Ständisch frei;Magistrat redimiert";48.20744348;16.37364367;Kärntnerviertel
305;Neue Welt, Zum schwarzen Rädl;Singerstraße 886;886;940;886;K. K. Banko-Gebäude;Singerstraße;Magistrat redimiert;48.2067347;16.3755341;Kärntnerviertel
306;Riemerstraße, Bäckerhaus;Singerstraße 887;887;941;895;;Singerstraße;Magistrat der Stadt Wien;48.2065291;16.3756625;Kärntnerviertel
307;Singerstraße, Gronerisches Haus;Singerstraße 888;888;942;896;;Singerstraße;Stift Schotten;48.20645608;16.3758225;Kärntnerviertel
308;Singerstraße, Andlauerisches Haus;Singerstraße 889;889;943;920;;Singerstraße;Magistrat der Stadt Wien;48.2062329;16.376225;Kärntnerviertel
309;Singerstraße, Zu den drei Hacken;Singerstraße 890;890;"944;945";"921;922";;Singerstraße;Magistrat der Stadt Wien;48.2062087;16.3759043;Kärntnerviertel
