id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Vorstadt;Latitude;Longitude;reference;Viertel
462;Kleine Steingasse 89;89;78;76;;Kleine Steingasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1938207;16.3457558;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
463;Kleine Steingasse 90;90;79;77;;Kleine Steingasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1937517;16.345823;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
464;Kleine Steingasse 91;91;80;78;;Kleine Steingasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1936414;16.3459411;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
465;Kleine Steingasse 92;92;81;79;;Kleine Steingasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1935033;16.3460865;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
466;Kleine Steingasse 93;93;100;80;;Kleine Steingasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1933423;16.3462464;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
467;Kleine Steingasse 94;94;101;;;Kleine Steingasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1934295;16.3464153;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
468;Schmiedgasse 96;96;93;;;Schmiedgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.194929;16.3456231;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
469;Schmiedgasse 97;97;94;;;Schmiedgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1947182;16.3458284;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
470;Schmiedgasse 98;98;95;;;Schmiedgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1945414;16.3459865;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
471;Schmiedgasse 99;99;96;;;Schmiedgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1943609;16.3461591;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
472;Schmiedgasse 100;100;97;;;Schmiedgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1941719;16.3463336;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
473;Schmiedgasse 101;101;91;;;Schmiedgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1939987;16.3464971;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
474;Schmiedgasse 102;102;99;;;Schmiedgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1938364;16.3466606;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
475;Schmiedgasse 103;103;;;;Schmiedgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1936657;16.3468223;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
476;Schmiedgasse 105;105;;;;Schmiedgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1936281;16.3461882;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
