id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Vorstadt;Viertel;Latitude;Longitude;reference
966;Alleegasse 125;125;188;;;Alleegasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2076827;16.3449758;Behsel Stadtplan, WStLA, P1: 295/12G
967;Lerchenfelder-Hauptstraﬂe 126;126;78;;Pfarrhof;Lerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.207284;16.3450212;Behsel Stadtplan, WStLA, P1: 295/12G
968;Alleegasse 234;234;;;Schulhaus;Alleegasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2075165;16.3449741;Behsel Stadtplan, WStLA, P1: 295/12G
969;Lerchenfelder-Hauptstraﬂe 127;127;79;;;Lerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2072352;16.3452741;Behsel Stadtplan, WStLA, P1: 295/12G
970;Neue Gasse 128;128;80;;;Neue Gasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2071934;16.3455078;Behsel Stadtplan, WStLA, P1: 295/12G
971;Neue Gasse 129;129;81;;;Neue Gasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2075061;16.3456735;Behsel Stadtplan, WStLA, P1: 295/12G
972;Neue Gasse 130;130;82;;;Neue Gasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2076351;16.3457259;Behsel Stadtplan, WStLA, P1: 295/12G
973;Neue Gasse 131;131;83;;;Neue Gasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2077897;16.3457555;Behsel Stadtplan, WStLA, P1: 295/12G
974;Neue Gasse 132;132;84;;;Neue Gasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2079222;16.3457695;Behsel Stadtplan, WStLA, P1: 295/12G
975;Neue Gasse 133;133;85;;;Neue Gasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2080605;16.3457712;Behsel Stadtplan, WStLA, P1: 295/12G
976;Neue Gasse 134;134;86;;;Neue Gasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2082198;16.3457712;Behsel Stadtplan, WStLA, P1: 295/12G
977;Neue Gasse 135;135;87;;;Neue Gasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2084069;16.3457398;Behsel Stadtplan, WStLA, P1: 295/12G
978;Neue Gasse 136;136;88;;;Neue Gasse;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2085848;16.3456997;Behsel Stadtplan, WStLA, P1: 295/12G
