id;Hausnummer;Vorstadt;Latitude;Longitude;reference;Viertel;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Adresse
617;138;Spittelberg, Mariahilf;48.2008197;16.352442;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;114;;;Große Kirchengasse;Domkapitel;Große Kirchengasse 138
618;139;Spittelberg, Mariahilf;48.2009603;16.352378;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;113;;;Große Kirchengasse;Domkapitel;Große Kirchengasse 139
619;140;Spittelberg, Mariahilf;48.2011167;16.3523235;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;112;;;Große Kirchengasse;Domkapitel;Große Kirchengasse 140
620;141;Spittelberg, Mariahilf;48.2012558;16.3522619;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;111;;;Große Kirchengasse;Domkapitel;Große Kirchengasse 141
621;142;Spittelberg, Mariahilf;48.2014011;16.3521884;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;110;;;Große Kirchengasse;Domkapitel;Große Kirchengasse 142
622;143;Spittelberg, Mariahilf;48.2015322;16.3521457;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;109;;;Große Kirchengasse;Domkapitel;Große Kirchengasse 143
623;144;Spittelberg, Mariahilf;48.201676;16.3520817;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;108;;;Große Kirchengasse;Domkapitel;Große Kirchengasse 144
624;145;Spittelberg, Mariahilf;48.2017945;16.3520343;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;107;;;Große Kirchengasse;Domkapitel;Große Kirchengasse 145
625;146;Spittelberg, Mariahilf;48.2019714;16.3519632;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;106;;;Große Kirchengasse;Domkapitel;Große Kirchengasse 146
626;147;Spittelberg, Mariahilf;48.2016997;16.351821;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;104;;;Große Kirchengasse;Domkapitel;Große Kirchengasse 147
627;148;Spittelberg, Mariahilf;48.2015417;16.3518921;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;103;;;Große Kirchengasse;Domkapitel;Große Kirchengasse 148
