id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;;Gassen und Plätze;Grundobrigkeit;Vorstadt;Latitude;Longitude;Viertel;reference
11;Hetzgasse 42;42;37;7;;Hetzgasse;Stift Schotten;Weißgerber;48.209532;16.3880684;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
12;Am Glacis 38;38;33;4;K. K. Kanalfond;Am Glacis;"Magistrat der Stadt Wien;Stift Schotten";Weißgerber;48.2095212;16.3869571;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
13;Am Glacis 37;37;32;8;;Am Glacis;Stift Schotten;Weißgerber;48.2102484;16.3871115;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
14;Seilergasse 36;36;31;9;;Seilergasse;Stift Schotten;Weißgerber;48.2104359;16.388811;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
15;Am Glacis 35;35;30;11;K. K. Hof-Banco-Deputation;Am Glacis;Stift Schotten;Weißgerber;48.2108752;16.3871423;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
16;Am Glacis 34;34;29;12;;Am Glacis;"Magistrat der Stadt Wien;Stift Schotten";Weißgerber;48.2113906;16.3872567;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
17;Pfefferhofgasse 31;31;23;15;;Pfefferhofgasse;Stift Schotten;Weißgerber;48.2112914;16.3880102;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
18;Hauptstraße 2;2;3;64;;Hauptstraße;Magistrat der Stadt Wien;Weißgerber;48.2122086;16.3876634;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
19;Hauptstraße 1;1;"1;2";65;;Hauptstraße;Magistrat der Stadt Wien;Weißgerber;48.2121323;16.3873584;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
20;Hauptstraße 3;3;4;63;;Hauptstraße;Magistrat der Stadt Wien;Weißgerber;48.2122679;16.3878723;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
21;Hauptstraße 4;4;5;62;;Hauptstraße;Magistrat der Stadt Wien;Weißgerber;48.2123102;16.3880339;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
22;Hauptstraße 5;5;6;61;;Hauptstraße;Magistrat der Stadt Wien;Weißgerber;48.212378;16.388299;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
23;Hauptstraße 6;6;7;60;;Hauptstraße;Magistrat der Stadt Wien;Weißgerber;48.2124421;16.3886476;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
24;Hauptstraße 7;7;8;59;;Hauptstraße;Magistrat der Stadt Wien;Weißgerber;48.2124965;16.3889435;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
25;Hauptstraße 8;8;98;;;Hauptstraße;Magistrat der Stadt Wien;Weißgerber;48.2125183;16.3891941;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
26;Hauptstraße 9;9;9;58;;Hauptstraße;Magistrat der Stadt Wien;Weißgerber;48.2125014;16.3894901;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
27;Hauptstraße 10;10;10;57;;Hauptstraße;Magistrat der Stadt Wien;Weißgerber;48.2124493;16.3898587;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
28;Hauptstraße 11;11;11;56;Die bürgerliche Kürschner-Innung;Hauptstraße;Magistrat der Stadt Wien;Weißgerber;48.2124106;16.3902146;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
29;Hauptstraße 12;12;95;;Magistrat der Stadt Wien;Hauptstraße;Magistrat der Stadt Wien;Weißgerber;48.212378;16.3904615;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
