id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Latitude;Longitude;Vorstadt;Viertel;reference
260;Kirchengasse 59;59;59;;;Kirchengasse;Fürst von und zu Liechtenstein;48.2263608;16.3578167;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
261;Kirchengasse 60;60;60;;;Kirchengasse;Fürst von und zu Liechtenstein;48.2262834;16.3578554;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
262;Kirchengasse 61;61;61;;;Kirchengasse;Fürst von und zu Liechtenstein;48.2261681;16.3579045;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
263;Kirchengasse 62;62;62;;;Kirchengasse;Fürst von und zu Liechtenstein;48.2260546;16.3579561;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
264;Kirchengasse 64;64;64;;;Kirchengasse;Fürst von und zu Liechtenstein;48.2261113;16.3581214;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
265;Kirchengasse 65;65;65;;;Kirchengasse;Fürst von und zu Liechtenstein;48.2262146;16.358075;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
266;Kirchengasse 66;66;66;;;Kirchengasse;Fürst von und zu Liechtenstein;48.2263402;16.3580207;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
267;Kirchengasse 67;67;67;;;Kirchengasse;Fürst von und zu Liechtenstein;48.2264624;16.3579716;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
268;Kirchengasse 68;68;68;;;Kirchengasse;Fürst von und zu Liechtenstein;48.2265312;16.3579381;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
269;Kirchengasse 69;69;69;;;Kirchengasse;Fürst von und zu Liechtenstein;48.2265828;16.3579148;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
270;Kirchengasse 70;70;70;;;Kirchengasse;Fürst von und zu Liechtenstein;48.2266637;16.3578838;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
271;Kirchengasse 71;71;71;;;Kirchengasse;Fürst von und zu Liechtenstein;48.2267841;16.3578296;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
272;Kirchengasse 72;72;72;;;Kirchengasse;Fürst von und zu Liechtenstein;48.2268693;16.3577947;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
273;Kirchengasse 73;73;73;;;Kirchengasse;Fürst von und zu Liechtenstein;48.2269536;16.3577586;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
274;Kirchengasse 74;74;74;;;Kirchengasse;Fürst von und zu Liechtenstein;48.2270723;16.3577005;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
275;Kirchengasse 75;75;75;;;Kirchengasse;Fürst von und zu Liechtenstein;48.2274276;16.3575494;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
276;Kirchengasse 76;76;76;;;Kirchengasse;Fürst von und zu Liechtenstein;48.2275257;16.3575106;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
277;Kirchengasse 77;77;77;;;Kirchengasse;Fürst von und zu Liechtenstein;48.2275945;16.357477;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
278;Kirchengasse 78;78;78;;;Kirchengasse;Fürst von und zu Liechtenstein;48.2276599;16.357446;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
279;Kirchengasse 79;79;79;;;Kirchengasse;Fürst von und zu Liechtenstein;48.2277631;16.3574073;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
280;Kirchengasse 80;80;80;;;Kirchengasse;Fürst von und zu Liechtenstein;48.2278973;16.3573402;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
281;Kirchengasse 81;81;81;;;Kirchengasse;Fürst von und zu Liechtenstein;48.2280092;16.3572988;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
282;Kirchengasse 82;82;82;;;Kirchengasse;Fürst von und zu Liechtenstein;48.228121;16.3572265;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
283;Kirchengasse 83;83;83;;;Kirchengasse;Fürst von und zu Liechtenstein;48.2281898;16.3574409;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
284;Kirchengasse 84;84;84;;;Kirchengasse;Fürst von und zu Liechtenstein;48.2282156;16.3575339;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
285;Schmiedgasse 85;85;85;;;Schmiedgasse;Fürst von und zu Liechtenstein;48.2282311;16.3577586;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
286;Schmiedgasse 86;86;86;;;Schmiedgasse;Fürst von und zu Liechtenstein;48.2281004;16.3578206;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
287;Schmiedgasse 87;87;87;;;Schmiedgasse;Fürst von und zu Liechtenstein;48.2280074;16.3578541;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
288;Schmiedgasse 88;88;88;;;Schmiedgasse;Fürst von und zu Liechtenstein;48.22793;16.3578903;Lichtenthal;Lichtenthal;Behsel Stadtplan, WStLA, P1: 295/17G
