id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Vorstadt;Latitude;Longitude;reference;Viertel
239;Johannesgasse 57;57;;;;Johannesgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2027046;16.3559064;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
240;Johannesgasse 58;58;;;;Johannesgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2027923;16.3557423;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
241;Johannesgasse 59;59;;;;Johannesgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2028746;16.3557228;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
242;Johannesgasse 60;60;;;;Johannesgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2030575;16.3556708;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
243;Johannesgasse 61;61;;;;Johannesgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2032892;16.3556302;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
244;Johannesgasse 62;62;;;;Johannesgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2034797;16.3555734;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
245;Johannesgasse 63;63;;;;Johannesgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2035934;16.3555409;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
246;Johannesgasse 64;64;;;;Johannesgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2036476;16.3555328;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
247;Johannesgasse 65;65;;;;Johannesgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2036909;16.3555133;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
248;Johannesgasse 66;66;;;;Johannesgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2037991;16.3554873;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
249;Johannesgasse 67;67;;;;Johannesgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2039474;16.3554434;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
250;Burggasse 68;68;;;;Burggasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2040741;16.3554174;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
251;Burggasse 69;69;;;;Burggasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.204138;16.3552956;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
252;Burggasse 70;70;;;;Burggasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2041152;16.3551559;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
253;Fuhrmannsgasse 71;71;;;;Fuhrmannsgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2039204;16.3551429;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
254;Fuhrmannsgasse 72;72;;;;Fuhrmannsgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2038121;16.3551575;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
255;Fuhrmannsgasse 73;73;;;;Fuhrmannsgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.203706;16.3551917;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
256;Fuhrmannsgasse 74;74;;;;Fuhrmannsgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2036021;16.3552144;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
257;Fuhrmannsgasse 75;75;;;;Fuhrmannsgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2034884;16.3552436;Behsel Stadtplan, WStLA, P1: 295/11G;Spittelberg
