id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Vorstadt;Viertel;Latitude;Longitude;reference
486;Rofranogasse 12;12;12;11;;Rofranogasse;Stift Schotten;Neubau;Neubau;48.2062659;16.3500779;Behsel Stadtplan, WStLA, P1: 295/12G
487;Spindlergasse 13;13;13;12;;Spindlergasse;Stift Schotten;Neubau;Neubau;48.2059992;16.3498715;Behsel Stadtplan, WStLA, P1: 295/12G
488;Rofranogasse 14;14;14;14;;Rofranogasse;Stift Schotten;Neubau;Neubau;48.2062659;16.3495015;Behsel Stadtplan, WStLA, P1: 295/12G
489;Rofranogasse 15;15;15;;;Rofranogasse;Stift Schotten;Neubau;Neubau;48.206311;16.3491582;Behsel Stadtplan, WStLA, P1: 295/12G
490;Rofranogasse 49;49;38;25;;Rofranogasse;Stift Schotten;Neubau;Neubau;48.2063845;16.348548;Behsel Stadtplan, WStLA, P1: 295/12G
491;Rofranogasse 16;16;16;29;;Rofranogasse;Stift Schotten;Neubau;Neubau;48.2064141;16.3483666;Behsel Stadtplan, WStLA, P1: 295/12G
492;Rofranogasse 17;17;17;241;;Rofranogasse;Stift Schotten;Neubau;Neubau;48.2064438;16.3481905;Behsel Stadtplan, WStLA, P1: 295/12G
493;Groﬂe Rosmaringasse 18;18;41;28;;Groﬂe Rosmaringasse;Stift Schotten;Neubau;Neubau;48.2064734;16.3479805;Behsel Stadtplan, WStLA, P1: 295/12G
494;Groﬂe Rosmaringasse 19;19;41;28;;Groﬂe Rosmaringasse;Stift Schotten;Neubau;Neubau;48.2062209;16.3478364;Behsel Stadtplan, WStLA, P1: 295/12G
495;Groﬂe Rosmaringasse 20;20;41;28;;Groﬂe Rosmaringasse;Stift Schotten;Neubau;Neubau;48.2060205;16.3477866;Behsel Stadtplan, WStLA, P1: 295/12G
496;Groﬂe Rosmaringasse 21;21;41;28;;Groﬂe Rosmaringasse;Stift Schotten;Neubau;Neubau;48.2058249;16.3477439;Behsel Stadtplan, WStLA, P1: 295/12G
497;Groﬂe Rosmaringasse 22;22;294;;;Groﬂe Rosmaringasse;Stift Schotten;Neubau;Neubau;48.2059351;16.3476301;Behsel Stadtplan, WStLA, P1: 295/12G
498;Groﬂe Rosmaringasse 23;23;295;;;Groﬂe Rosmaringasse;Stift Schotten;Neubau;Neubau;48.2062422;16.3476888;Behsel Stadtplan, WStLA, P1: 295/12G
499;Rofranogasse 24;24;18;;;Rofranogasse;Stift Schotten;Neubau;Neubau;48.2065813;16.347591;Behsel Stadtplan, WStLA, P1: 295/12G
500;Rofranogasse 25;25;19;;;Rofranogasse;Stift Schotten;Neubau;Neubau;48.2066631;16.347285;Behsel Stadtplan, WStLA, P1: 295/12G
501;Rofranogasse 26;26;20;240;;Rofranogasse;Stift Schotten;Neubau;Neubau;48.206733;16.3469915;Behsel Stadtplan, WStLA, P1: 295/12G
502;Rofranogasse 27;27;21;250;;Rofranogasse;Stift Schotten;Neubau;Neubau;48.2068089;16.3466481;Behsel Stadtplan, WStLA, P1: 295/12G
503;Rofranogasse 28;28;22;30;;Rofranogasse;Stift Schotten;Neubau;Neubau;48.2068907;16.3462639;Behsel Stadtplan, WStLA, P1: 295/12G
504;Rofranogasse 29;29;23;31;;Rofranogasse;Stift Schotten;Neubau;Neubau;48.2069583;16.3460237;Behsel Stadtplan, WStLA, P1: 295/12G
505;Rofranogasse 30;30;24;243;;Rofranogasse;Stift Schotten;Neubau;Neubau;48.2069903;16.3457942;Behsel Stadtplan, WStLA, P1: 295/12G
506;Rofranogasse 31;31;25;242;;Rofranogasse;Stift Schotten;Neubau;Neubau;48.2070259;16.3455897;Behsel Stadtplan, WStLA, P1: 295/12G
